licence_group,source
44089,Tanzania
44089,Turkey
44089,Uganda
44089,Ukraine
44089,"United States of America"
44090,Angola
44090,Austria
44090,Botswana
44090,Bulgaria
44090,Cameroon
44090,Chad
44090,Denmark
44090,"Equatorial Guinea"
44090,France
44090,Gabon
44090,Germany
44090,Ghana
44090,Greece
44090,"Guinea, Republic of"
44090,Hungary
44090,Israel
44090,Italy
44090,Kenya
44090,Mauritania
44090,Morocco
44090,Mozambique
44090,Namibia
44090,Netherlands
44090,Nigeria
44090,Norway
44090,Poland
44090,Portugal
44090,"Republic of Congo"
44090,Romania
44090,Senegal
44090,Slovenia
44090,"South Africa"
44090,Spain
44090,Switzerland
44090,Tanzania
44090,Turkey
44090,Uganda
44090,Ukraine
44090,"United States of America"
44091,Angola
44091,Austria
44091,Botswana
44091,Bulgaria
44091,Cameroon
44091,Chad
44091,Denmark
44091,"Equatorial Guinea"
44091,France
44091,Gabon
44091,Germany
44091,Ghana
44091,Greece
44091,"Guinea, Republic of"
44091,Hungary
44091,Israel
44091,Italy
44091,Kenya
44091,Mauritania
44091,Morocco
44091,Mozambique
44091,Namibia
44091,Netherlands
44091,Nigeria
44091,Norway
44091,Poland
44091,Portugal
44091,"Republic of Congo"
44091,Romania
44091,Senegal
44091,Slovenia
44091,"South Africa"
44091,Spain
44091,Switzerland
44091,Tanzania
44091,Turkey
44091,Uganda
44091,Ukraine
44091,"United States of America"
44092,Angola
44092,Austria
44092,Botswana
44092,Bulgaria
44092,Cameroon
44092,Chad
44092,Denmark
44092,"Equatorial Guinea"
44092,France
44092,Gabon
44092,Germany
44092,Ghana
44092,Greece
44092,"Guinea, Republic of"
44092,Hungary
44092,Israel
44092,Italy
44092,Kenya
44092,Mauritania
44092,Morocco
44092,Mozambique
44092,Namibia
44092,Netherlands
44092,Nigeria
44092,Norway
44092,Poland
44092,Portugal
44092,"Republic of Congo"
44092,Romania
44092,Senegal
44092,Slovenia
44092,"South Africa"
44092,Spain
44092,Switzerland
44092,Tanzania
44092,Turkey
44092,Uganda
44092,Ukraine
44092,"United States of America"
44093,Angola
44093,Austria
44093,Botswana
44093,Bulgaria
44093,Cameroon
44093,Chad
44093,Denmark
44093,"Equatorial Guinea"
44093,France
44093,Gabon
44093,Germany
44093,Ghana
44093,Greece
44093,"Guinea, Republic of"
44093,Hungary
44093,Israel
44093,Italy
44093,Kenya
44093,Mauritania
44093,Morocco
44093,Mozambique
44093,Namibia
44093,Netherlands
44093,Nigeria
44093,Norway
44093,Poland
44093,Portugal
44093,"Republic of Congo"
44093,Romania
44093,Senegal
44093,Slovenia
44093,"South Africa"
44093,Spain
44093,Switzerland
44093,Tanzania
44093,Turkey
44093,Uganda
44093,Ukraine
44093,"United States of America"
44094,Angola
44094,Austria
44094,Botswana
44094,Bulgaria
44094,Cameroon
44094,Chad
44094,Denmark
44094,"Equatorial Guinea"
44094,France
44094,Gabon
44094,Germany
44094,Ghana
44094,Greece
44094,"Guinea, Republic of"
44094,Hungary
44094,Israel
44094,Italy
44094,Kenya
44094,Mauritania
44094,Morocco
44094,Mozambique
44094,Namibia
44094,Netherlands
44094,Nigeria
44094,Norway
44094,Poland
44094,Portugal
44094,"Republic of Congo"
44094,Romania
44094,Senegal
44094,Slovenia
44094,"South Africa"
44094,Spain
44094,Switzerland
44094,Tanzania
44094,Turkey
44094,Uganda
44094,Ukraine
44094,"United States of America"
